,nama,harga,gambar,diskon,rating
0,"WD My Passport HD HDD Hardisk Eksternal External 2.5""",Rp 779.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/1/13/07971a14-93a1-42a4-a597-55062714cd55.jpg,13,0
1,"WD Caviar Black 2TB - HD HDD Hardisk Internal 3.5"" For PC Gaming",Rp 2.215.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/11/21/761699b7-e793-4d3f-89c8-17f79438caf0.jpg,0,0
2,SSD WD Red SN700 2TB - SSD M.2 NVMe PCIe,Rp 6.125.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/6/a1dfb11f-b80d-432f-8ae3-26007275773d.jpg,7,0
3,SSD WD Black SN850X - SSD M.2 NVMe PCIe,Rp 4.655.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/6/54c83215-4c00-4157-94f4-ffff5a1b9bbc.jpg,18,100
4,"WD Caviar Black 1TB - HD HDD Hardisk Internal 3.5"" For PC Gaming",Rp 1.425.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/10/14/12c95d30-d083-4cad-945a-6a9d3cbb04d4.jpg,0,100
5,SSD WD Red SN700 500GB - SSD M.2 NVMe PCIe,Rp 1.700.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/6/9d438bf1-d52c-4ab3-a91b-e65e5e41c645.jpg,0,100
6,SSD WD Red SN700 1TB - SSD M.2 NVMe PCIe,Rp 3.195.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/6/776d1bd7-6e37-4e75-a769-b0e9101be298.jpg,0,0
7,SSD WD Black SN850X 2TB - SSD M.2 NVMe PCIe,Rp 4.655.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/12/6/d965372c-c563-4516-8c98-3b7276fcb0d2.jpg,18,100
8,WD Black P40 Game Drive - SSD Eksternal Gaming,Rp 1.925.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/9/21/841efb8c-20ee-4666-bdd9-8c4f3a9d878e.jpg,0,0
9,WD Black P40 2TB Game Drive - SSD Eksternal Gaming,Rp 4.485.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2022/9/21/86a12b6e-b9fb-4581-9a80-fdaead70075f.jpg,0,100
